Abbekås	1	189	274 56	Abbekås	126406	Skåne	Skurup
Anders Truls väg	1	12	274 56	Abbekås	126406	Skåne	Skurup
Andvägen	1	9	274 56	Abbekås	126406	Skåne	Skurup
Ejdervägen	1	6	274 56	Abbekås	126406	Skåne	Skurup
Faxevägen	1	45	274 56	Abbekås	126406	Skåne	Skurup
Fiskarevägen	1	64	274 56	Abbekås	126406	Skåne	Skurup
Fredrika Wallis väg	1	25	274 56	Abbekås	126406	Skåne	Skurup
Hedvägen	1	10	274 56	Abbekås	126406	Skåne	Skurup
Högastensvägen	1	10	274 56	Abbekås	126406	Skåne	Skurup
Idrottsvägen	1	43	274 56	Abbekås	126406	Skåne	Skurup
Kalmarvägen	1	43	274 56	Abbekås	126406	Skåne	Skurup
Karl Kulls väg	1	9	274 56	Abbekås	126406	Skåne	Skurup
Kustvägen	1	146	274 56	Abbekås	126406	Skåne	Skurup
Mattias Ols väg	1	20	274 56	Abbekås	126406	Skåne	Skurup
Metta Jörgens väg	1	14	274 56	Abbekås	126406	Skåne	Skurup
Mårten Jöns väg	1	13	274 56	Abbekås	126406	Skåne	Skurup
Måsvägen	1	6	274 56	Abbekås	126406	Skåne	Skurup
Nils Holgerssons väg	1	44	274 56	Abbekås	126406	Skåne	Skurup
Nordanvindsvägen	1	23	274 56	Abbekås	126406	Skåne	Skurup
Ola Snickares väg	1	4	274 56	Abbekås	126406	Skåne	Skurup
Oskar Albins väg	1	3	274 56	Abbekås	126406	Skåne	Skurup
Rågångsvägen	1	9	274 56	Abbekås	126406	Skåne	Skurup
Sandflyktsvägen	1	10	274 56	Abbekås	126406	Skåne	Skurup
Segelvägen	1	10	274 56	Abbekås	126406	Skåne	Skurup
Skepparevägen	1	3	274 56	Abbekås	126406	Skåne	Skurup
Skolvägen	1	4	274 56	Abbekås	126406	Skåne	Skurup
Sockenvägen	1	38	274 56	Abbekås	126406	Skåne	Skurup
Sunnanvindsvägen	1	22	274 56	Abbekås	126406	Skåne	Skurup
Svanvägen	1	27	274 56	Abbekås	126406	Skåne	Skurup
Tennisvägen	1	28	274 56	Abbekås	126406	Skåne	Skurup
Tångvägen	1	3	274 56	Abbekås	126406	Skåne	Skurup
Vindarnas väg	1	30	274 56	Abbekås	126406	Skåne	Skurup
Åkerivägen	1	1	274 56	Abbekås	126406	Skåne	Skurup
Örmölla	1	2513	274 56	Abbekås	126406	Skåne	Skurup
Aspliden	1	15	930 82	Abborrträsk	250502	Norrbotten	Arvidsjaur
Björkholmen	1	2	930 82	Abborrträsk	250502	Norrbotten	Arvidsjaur
Boksel	1	11	930 82	Abborrträsk	250502	Norrbotten	Arvidsjaur
Bokselsvägen	1	209	930 82	Abborrträsk	250502	Norrbotten	Arvidsjaur
Bruket	1	10	930 82	Abborrträsk	250502	Norrbotten	Arvidsjaur
